x,y,validity,timestamp_us,task,timestamp_seconds,task_description
1049.7010498046875,466.2038879394531,Valid,1864002365436,free_viewing,2.658419,Look at the image freely.
1051.6595458984375,466.8168029785156,Valid,1864002395579,free_viewing,2.688562,Look at the image freely.
1052.9560546875,467.5905151367188,Valid,1864002425820,free_viewing,2.718803,Look at the image freely.
1053.6536865234375,468.3915710449219,Valid,1864002455973,free_viewing,2.748956,Look at the image freely.
1085.57275390625,482.6018371582031,Valid,1864002486019,free_viewing,2.779002,Look at the image freely.
1227.0155029296875,528.007080078125,Valid,1864002516310,free_viewing,2.809293,Look at the image freely.
1378.116455078125,567.7574462890625,Valid,1864002546904,free_viewing,2.839887,Look at the image freely.
1471.765380859375,593.3214721679688,Valid,1864002576809,free_viewing,2.869792,Look at the image freely.
1524.65576171875,609.31298828125,Valid,1864002607307,free_viewing,2.90029,Look at the image freely.
1553.52099609375,616.9276123046875,Valid,1864002637212,free_viewing,2.930195,Look at the image freely.
1570.45751953125,622.218994140625,Valid,1864002667710,free_viewing,2.960693,Look at the image freely.
1579.501220703125,626.8303833007812,Valid,1864002697614,free_viewing,2.990597,Look at the image freely.
1585.761962890625,628.9654541015625,Valid,1864002728111,free_viewing,3.021094,Look at the image freely.
1589.69970703125,631.7933349609375,Valid,1864002758016,free_viewing,3.050999,Look at the image freely.
1584.704833984375,629.2131958007812,Valid,1864002788514,free_viewing,3.081497,Look at the image freely.
1563.0738525390625,616.4735107421875,Valid,1864002818612,free_viewing,3.111595,Look at the image freely.
1541.3388671875,602.3057250976562,Valid,1864002848667,free_viewing,3.14165,Look at the image freely.
1506.953369140625,577.5715942382812,Valid,1864002878829,free_viewing,3.171812,Look at the image freely.
1472.32568359375,552.992431640625,Valid,1864002909070,free_viewing,3.202053,Look at the image freely.
1444.6881103515625,532.960693359375,Valid,1864002939416,free_viewing,3.232399,Look at the image freely.
1424.39208984375,518.2299194335938,Valid,1864002969482,free_viewing,3.262465,Look at the image freely.
1452.1044921875,528.4313354492188,Valid,1864002999828,free_viewing,3.292811,Look at the image freely.
1493.8543701171875,544.7861938476562,Valid,1864003029944,free_viewing,3.322927,Look at the image freely.
1565.2996826171875,573.0681762695312,Valid,1864003060201,free_viewing,3.353184,Look at the image freely.
1645.37939453125,601.8380737304688,Valid,1864003090258,free_viewing,3.383241,Look at the image freely.
1708.377685546875,625.1822509765625,Valid,1864003120577,free_viewing,3.41356,Look at the image freely.
1751.0194091796875,642.2061767578125,Valid,1864003150881,free_viewing,3.443864,Look at the image freely.
1780.578125,652.3834228515625,Valid,1864003180997,free_viewing,3.47398,Look at the image freely.
1790.634765625,660.8184814453125,Valid,1864003211495,free_viewing,3.504478,Look at the image freely.
1794.634033203125,668.7906494140625,Valid,1864003241390,free_viewing,3.534373,Look at the image freely.
1798.628662109375,674.250244140625,Valid,1864003271984,free_viewing,3.564967,Look at the image freely.
1801.60302734375,677.9520874023438,Valid,1864003301792,free_viewing,3.594775,Look at the image freely.
1803.431640625,679.4668579101562,Valid,1864003332194,free_viewing,3.625177,Look at the image freely.
1805.526123046875,680.7732543945312,Valid,1864003362231,free_viewing,3.655214,Look at the image freely.
1807.13232421875,682.796142578125,Valid,1864003392536,free_viewing,3.685519,Look at the image freely.
1808.320068359375,683.7230224609375,Valid,1864003422624,free_viewing,3.715607,Look at the image freely.
1808.8037109375,684.625244140625,Valid,1864003453219,free_viewing,3.746202,Look at the image freely.
1809.3299560546875,685.498291015625,Valid,1864003483017,free_viewing,3.776,Look at the image freely.
1809.648193359375,686.534423828125,Valid,1864003513611,free_viewing,3.806594,Look at the image freely.
1821.2010498046875,683.2311401367188,Valid,1864003543410,free_viewing,3.836393,Look at the image freely.
1845.29052734375,672.306884765625,Valid,1864003573747,free_viewing,3.86673,Look at the image freely.
1871.34765625,659.5052490234375,Valid,1864003603767,free_viewing,3.89675,Look at the image freely.
1896.0662841796875,647.0656127929688,Valid,1864003633919,free_viewing,3.926902,Look at the image freely.
1916.0223388671875,637.1466674804688,Valid,1864003664168,free_viewing,3.957151,Look at the image freely.
1930.52783203125,629.098876953125,Valid,1864003694487,free_viewing,3.98747,Look at the image freely.
1937.3126220703125,622.7291870117188,Valid,1864003724553,free_viewing,4.017536,Look at the image freely.
1940.6463623046875,619.8588256835938,Valid,1864003755083,free_viewing,4.048066,Look at the image freely.
1943.861328125,617.1002197265625,Valid,1864003784996,free_viewing,4.077979,Look at the image freely.
1947.041015625,614.579345703125,Valid,1864003815591,free_viewing,4.108574,Look at the image freely.
1950.232421875,612.1057739257812,Valid,1864003845591,free_viewing,4.138574,Look at the image freely.
1952.1234130859373,610.555908203125,Valid,1864003875992,free_viewing,4.168975,Look at the image freely.
1952.7637939453125,610.10009765625,Valid,1864003905791,free_viewing,4.198774,Look at the image freely.
1953.2183837890625,610.5895385742188,Valid,1864003936386,free_viewing,4.229369,Look at the image freely.
1953.64013671875,610.4690551757812,Valid,1864003966185,free_viewing,4.259168,Look at the image freely.
1954.022216796875,609.7050170898438,Valid,1864003996779,free_viewing,4.289762,Look at the image freely.
